"INT/EXT";"CODE FOURNISSEUR";"CODE COLLECTION";"CODE COULEUR";"CATEGORIE";"DIMENSION";"COULEUR";"REF1";"REF2";"DIMENSION2";"PRIX PUBLIC TTC";"PRIX PROMO TTC";"FOURNISSEUR";"COLLECTION";"COLLISAGE";"UNITE";"FINITION"
"INT ";100;"B";1;" CARRELAGE ";3060;"IVOIRE";"MC";"AE";3060;" 48 € ";" 34 € ";"MARCA CORONA";"ARKISTONE";1,26;"m²";0
"EXT";100;"B";1;" CARRELAGE ";3060;"IVOIRE";"MC";"AE";3060;" 48 € ";" 34 € ";"MARCA CORONA";"ARKISTONE";1,26;"m²";0
"INT ";100;"B";1;" CARRELAGE ";6060;"IVOIRE";"MC";"AE";6060;" 54 € ";" 38 € ";"MARCA CORONA";"ARKISTONE";1,08;"m²";0
"EXT";100;"B";1;" CARRELAGE ";6060;"IVOIRE";"MC";"AE";6060;" 54 € ";" 38 € ";"MARCA CORONA";"ARKISTONE";1,08;"m²";0
"INT ";100;"B";1;" CARRELAGE ";8080;"IVOIRE";"MC";"AE";8080;" 60 € ";" 42 € ";"MARCA CORONA";"ARKISTONE";1,28;"m²";0
"INT ";100;"B";1;" CARRELAGE ";60120;"IVOIRE";"MC";"AE";60120;" 60 € ";" 42 € ";"MARCA CORONA";"ARKISTONE";1,44;"m²";0
"INT ";100;"B";1;" CARRELAGE ";120120;"IVOIRE";"MC";"AE";120120;" 73 € ";" 51 € ";"MARCA CORONA";"ARKISTONE";2,88;"m²";0
"INT ";100;"B";1;" PLINTHE ";780;"IVOIRE";"MC";"AE";780;" 27 € ";" 19 € ";"MARCA CORONA";"ARKISTONE";6,4;"ml";0
"INT ";100;"B";1;" PLINTHE ";760;"IVOIRE";"MC";"AE";760;" 25 € ";" 17 € ";"MARCA CORONA";"ARKISTONE";7,2;"ml";0
"INT ";100;"B";2;" CARRELAGE ";3060;"LIGHT";"MC";"AE";3060;" 48 € ";" 48 € ";"MARCA CORONA";"ARKISTONE";1,26;"m²";0
"EXT";100;"B";2;" CARRELAGE ";3060;"LIGHT";"MC";"AE";3060;" 48 € ";" 48 € ";"MARCA CORONA";"ARKISTONE";1,26;"m²";0
"INT ";100;"B";2;" CARRELAGE ";6060;"LIGHT";"MC";"AE";6060;" 54 € ";" 54 € ";"MARCA CORONA";"ARKISTONE";1,08;"m²";0
"EXT";100;"B";2;" CARRELAGE ";6060;"LIGHT";"MC";"AE";6060;" 54 € ";" 54 € ";"MARCA CORONA";"ARKISTONE";1,08;"m²";0
"INT ";100;"B";2;" CARRELAGE ";8080;"LIGHT";"MC";"AE";8080;" 60 € ";" 60 € ";"MARCA CORONA";"ARKISTONE";1,28;"m²";0
"INT ";100;"B";2;" CARRELAGE ";60120;"LIGHT";"MC";"AE";60120;" 60 € ";" 60 € ";"MARCA CORONA";"ARKISTONE";1,44;"m²";0
"INT ";100;"B";2;" CARRELAGE ";120120;"LIGHT";"MC";"AE";120120;" 73 € ";" 73 € ";"MARCA CORONA";"ARKISTONE";2,88;"m²";0
"INT ";100;"B";2;" PLINTHE ";780;"LIGHT";"MC";"AE";780;" 27 € ";" 19 € ";"MARCA CORONA";"ARKISTONE";6,4;"ml";0
"INT ";100;"B";2;" PLINTHE ";760;"LIGHT";"MC";"AE";760;" 25 € ";" 17 € ";"MARCA CORONA";"ARKISTONE";7,2;"ml";0
"INT ";100;"B";3;" CARRELAGE ";3060;"GREIGE";"MC";"AE";3060;" 48 € ";" 48 € ";"MARCA CORONA";"ARKISTONE";1,26;"m²";0
"EXT";100;"B";3;" CARRELAGE ";3060;"GREIGE";"MC";"AE";3060;" 48 € ";" 48 € ";"MARCA CORONA";"ARKISTONE";1,26;"m²";0
"INT ";100;"B";3;" CARRELAGE ";6060;"GREIGE";"MC";"AE";6060;" 54 € ";" 54 € ";"MARCA CORONA";"ARKISTONE";1,08;"m²";0
"EXT";100;"B";3;" CARRELAGE ";6060;"GREIGE";"MC";"AE";6060;" 54 € ";" 54 € ";"MARCA CORONA";"ARKISTONE";1,08;"m²";0
"INT ";100;"B";3;" CARRELAGE ";8080;"GREIGE";"MC";"AE";8080;" 60 € ";" 60 € ";"MARCA CORONA";"ARKISTONE";1,28;"m²";0
"INT ";100;"B";3;" CARRELAGE ";60120;"GREIGE";"MC";"AE";60120;" 60 € ";" 60 € ";"MARCA CORONA";"ARKISTONE";1,44;"m²";0
"INT ";100;"B";3;" CARRELAGE ";120120;"GREIGE";"MC";"AE";120120;" 73 € ";" 73 € ";"MARCA CORONA";"ARKISTONE";2,88;"m²";0
"INT ";100;"B";3;" PLINTHE ";780;"GREIGE";"MC";"AE";780;" 27 € ";" 19 € ";"MARCA CORONA";"ARKISTONE";6,4;"ml";0
"INT ";100;"B";3;" PLINTHE ";760;"GREIGE";"MC";"AE";760;" 25 € ";" 17 € ";"MARCA CORONA";"ARKISTONE";7,2;"ml";0
"INT ";100;"B";4;" CARRELAGE ";3060;"SILVER";"MC";"AE";3060;" 48 € ";" 48 € ";"MARCA CORONA";"ARKISTONE";1,26;"m²";0
"EXT";100;"B";4;" CARRELAGE ";3060;"SILVER";"MC";"AE";3060;" 48 € ";" 48 € ";"MARCA CORONA";"ARKISTONE";1,26;"m²";0
"INT ";100;"B";4;" CARRELAGE ";6060;"SILVER";"MC";"AE";6060;" 54 € ";" 54 € ";"MARCA CORONA";"ARKISTONE";1,08;"m²";0
"EXT";100;"B";4;" CARRELAGE ";6060;"SILVER";"MC";"AE";6060;" 54 € ";" 54 € ";"MARCA CORONA";"ARKISTONE";1,08;"m²";0
"INT ";100;"B";4;" CARRELAGE ";8080;"SILVER";"MC";"AE";8080;" 60 € ";" 60 € ";"MARCA CORONA";"ARKISTONE";1,28;"m²";0
"INT ";100;"B";4;" CARRELAGE ";60120;"SILVER";"MC";"AE";60120;" 60 € ";" 60 € ";"MARCA CORONA";"ARKISTONE";1,44;"m²";0
"INT ";100;"B";4;" CARRELAGE ";120120;"SILVER";"MC";"AE";120120;" 73 € ";" 73 € ";"MARCA CORONA";"ARKISTONE";2,88;"m²";0
"INT ";100;"B";4;" PLINTHE ";780;"SILVER";"MC";"AE";780;" 27 € ";" 19 € ";"MARCA CORONA";"ARKISTONE";6,4;"ml";0
"INT ";100;"B";4;" PLINTHE ";760;"SILVER";"MC";"AE";760;" 25 € ";" 17 € ";"MARCA CORONA";"ARKISTONE";7,2;"ml";0
"INT ";100;"B";5;" CARRELAGE ";3060;"DARK";"MC";"AE";3060;" 48 € ";" 48 € ";"MARCA CORONA";"ARKISTONE";1,26;"m²";0
"EXT";100;"B";5;" CARRELAGE ";3060;"DARK";"MC";"AE";3060;" 48 € ";" 48 € ";"MARCA CORONA";"ARKISTONE";1,26;"m²";0
"INT ";100;"B";5;" CARRELAGE ";6060;"DARK";"MC";"AE";6060;" 54 € ";" 54 € ";"MARCA CORONA";"ARKISTONE";1,08;"m²";0
"EXT";100;"B";5;" CARRELAGE ";6060;"DARK";"MC";"AE";6060;" 54 € ";" 54 € ";"MARCA CORONA";"ARKISTONE";1,08;"m²";0
"INT ";100;"B";5;" CARRELAGE ";8080;"DARK";"MC";"AE";8080;" 60 € ";" 60 € ";"MARCA CORONA";"ARKISTONE";1,28;"m²";0
"INT ";100;"B";5;" CARRELAGE ";60120;"DARK";"MC";"AE";60120;" 60 € ";" 60 € ";"MARCA CORONA";"ARKISTONE";1,44;"m²";0
"INT ";100;"B";5;" CARRELAGE ";120120;"DARK";"MC";"AE";120120;" 73 € ";" 73 € ";"MARCA CORONA";"ARKISTONE";2,88;"m²";0
"INT ";100;"B";5;" PLINTHE ";780;"DARK";"MC";"AE";780;" 27 € ";" 19 € ";"MARCA CORONA";"ARKISTONE";6,4;"ml";0
"INT ";100;"B";5;" PLINTHE ";760;"DARK";"MC";"AE";760;" 25 € ";" 17 € ";"MARCA CORONA";"ARKISTONE";7,2;"ml";0
"INT";100;"F";1;" CARRELAGE ";3060;"PERLA";"MC";"MFO";3060;" 48 € ";" 48 € ";"MARCA CORONA";"MULTIFORME";1,26;"m²";0
"INT";100;"F";1;" CARRELAGE ";6060;"PERLA";"MC";"MFO";6060;" 54 € ";" 54 € ";"MARCA CORONA";"MULTIFORME";1,08;"m²";0
"EXT";100;"F";1;" CARRELAGE ";6060;"PERLA";"MC";"MFO";6060;" 54 € ";" 54 € ";"MARCA CORONA";"MULTIFORME";1,08;"m²";0
"INT";100;"F";1;" CARRELAGE ";8080;"PERLA";"MC";"MFO";8080;" 60 € ";" 60 € ";"MARCA CORONA";"MULTIFORME";1,28;"m²";0
"INT";100;"F";1;" CARRELAGE ";60120;"PERLA";"MC";"MFO";60120;" 60 € ";" 60 € ";"MARCA CORONA";"MULTIFORME";1,44;"m²";0
"INT";100;"F";1;" CARRELAGE ";120120;"PERLA";"MC";"MFO";120120;" 73 € ";" 73 € ";"MARCA CORONA";"MULTIFORME";2,88;"m²";0
"INT";100;"F";2;" CARRELAGE ";3060;"MALTA";"MC";"MFO";3060;" 48 € ";" 48 € ";"MARCA CORONA";"MULTIFORME";1,26;"m²";0
"INT";100;"F";2;" CARRELAGE ";6060;"MALTA";"MC";"MFO";6060;" 54 € ";" 54 € ";"MARCA CORONA";"MULTIFORME";1,08;"m²";0
"EXT";100;"F";2;" CARRELAGE ";6060;"MALTA";"MC";"MFO";6060;" 54 € ";" 54 € ";"MARCA CORONA";"MULTIFORME";1,08;"m²";0
"INT";100;"F";2;" CARRELAGE ";8080;"MALTA";"MC";"MFO";8080;" 60 € ";" 60 € ";"MARCA CORONA";"MULTIFORME";1,28;"m²";0
"INT";100;"F";2;" CARRELAGE ";60120;"MALTA";"MC";"MFO";60120;" 60 € ";" 60 € ";"MARCA CORONA";"MULTIFORME";1,44;"m²";0
"INT";100;"F";2;" CARRELAGE ";120120;"MALTA";"MC";"MFO";120120;" 73 € ";" 73 € ";"MARCA CORONA";"MULTIFORME";2,88;"m²";0
"INT";100;"F";3;" CARRELAGE ";3060;"CARBONE";"MC";"MFO";3060;" 48 € ";" 34 € ";"MARCA CORONA";"MULTIFORME";1,26;"m²";0
"INT";100;"F";3;" CARRELAGE ";6060;"CARBONE";"MC";"MFO";6060;" 54 € ";" 38 € ";"MARCA CORONA";"MULTIFORME";1,08;"m²";0
"EXT";100;"F";3;" CARRELAGE ";6060;"CARBONE";"MC";"MFO";6060;" 54 € ";" 38 € ";"MARCA CORONA";"MULTIFORME";1,08;"m²";0
"INT";100;"F";3;" CARRELAGE ";8080;"CARBONE";"MC";"MFO";8080;" 60 € ";" 42 € ";"MARCA CORONA";"MULTIFORME";1,28;"m²";0
"INT";100;"F";3;" CARRELAGE ";60120;"CARBONE";"MC";"MFO";60120;" 60 € ";" 42 € ";"MARCA CORONA";"MULTIFORME";1,44;"m²";0
"INT";100;"F";3;" CARRELAGE ";120120;"CARBONE";"MC";"MFO";120120;" 73 € ";" 51 € ";"MARCA CORONA";"MULTIFORME";2,88;"m²";0
"INT";100;"F";4;" CARRELAGE ";3060;"CALCE";"MC";"MFO";3060;" 48 € ";" 48 € ";"MARCA CORONA";"MULTIFORME";1,26;"m²";0
"INT";100;"F";4;" CARRELAGE ";6060;"CALCE";"MC";"MFO";6060;" 54 € ";" 54 € ";"MARCA CORONA";"MULTIFORME";1,08;"m²";0
"EXT";100;"F";4;" CARRELAGE ";6060;"CALCE";"MC";"MFO";6060;" 54 € ";" 54 € ";"MARCA CORONA";"MULTIFORME";1,08;"m²";0
"INT";100;"F";4;" CARRELAGE ";8080;"CALCE";"MC";"MFO";8080;" 60 € ";" 60 € ";"MARCA CORONA";"MULTIFORME";1,28;"m²";0
"INT";100;"F";4;" CARRELAGE ";60120;"CALCE";"MC";"MFO";60120;" 60 € ";" 60 € ";"MARCA CORONA";"MULTIFORME";1,44;"m²";0
"INT";100;"F";4;" CARRELAGE ";120120;"CALCE";"MC";"MFO";120120;" 73 € ";" 73 € ";"MARCA CORONA";"MULTIFORME";2,88;"m²";0
"INT";100;"F";5;" CARRELAGE ";3060;"MICA";"MC";"MFO";3060;" 48 € ";" 48 € ";"MARCA CORONA";"MULTIFORME";1,26;"m²";0
"INT";100;"F";5;" CARRELAGE ";6060;"MICA";"MC";"MFO";6060;" 54 € ";" 54 € ";"MARCA CORONA";"MULTIFORME";1,08;"m²";0
"EXT";100;"F";5;" CARRELAGE ";6060;"MICA";"MC";"MFO";6060;" 54 € ";" 54 € ";"MARCA CORONA";"MULTIFORME";1,08;"m²";0
"INT";100;"F";5;" CARRELAGE ";8080;"MICA";"MC";"MFO";8080;" 60 € ";" 60 € ";"MARCA CORONA";"MULTIFORME";1,28;"m²";0
"INT";100;"F";5;" CARRELAGE ";60120;"MICA";"MC";"MFO";60120;" 60 € ";" 60 € ";"MARCA CORONA";"MULTIFORME";1,44;"m²";0
"INT";100;"F";5;" CARRELAGE ";120120;"MICA";"MC";"MFO";120120;" 73 € ";" 73 € ";"MARCA CORONA";"MULTIFORME";2,88;"m²";0
"INT";100;"G";1;" CARRELAGE ";3060;"CAL  ORA FINO";"MC";"SA";3060;" 48 € ";" 48 € ";"MARCA CORONA";"SCULTOREA";1,26;"m²";0
"INT";100;"G";1;" CARRELAGE ";3060;"CAL  ORA FINO";"MC";"SA";3060;" 84 € ";" 84 € ";"MARCA CORONA";"SCULTOREA";1,26;"m²";"poli"
"INT";100;"G";3;" CARRELAGE ";3060;"STAT VENA ARGENTO";"MC";"SA";3060;" 48 € ";" 48 € ";"MARCA CORONA";"SCULTOREA";1,26;"m²";0
"INT";100;"G";3;" CARRELAGE ";3060;"STAT VENA ARGENTO";"MC";"SA";3060;" 84 € ";" 84 € ";"MARCA CORONA";"SCULTOREA";1,26;"m²";"poli"
"INT";100;"G";4;" CARRELAGE ";3060;"FOAM GREY";"MC";"SA";3060;" 48 € ";" 48 € ";"MARCA CORONA";"SCULTOREA";1,26;"m²";0
"INT";100;"G";6;" CARRELAGE ";3060;"DARK DIAMOND";"MC";"SA";3060;" 48 € ";" 48 € ";"MARCA CORONA";"SCULTOREA";1,26;"m²";0
"INT";100;"G";1;" CARRELAGE ";8080;"CAL  ORA FINO";"MC";"SA";8080;" 90 € ";" 90 € ";"MARCA CORONA";"SCULTOREA";1,28;"m²";"poli"
"INT";100;"G";2;" CARRELAGE ";8080;"CAL VENA ANTICA";"MC";"SA";8080;" 90 € ";" 90 € ";"MARCA CORONA";"SCULTOREA";1,28;"m²";"poli"
"INT";100;"G";3;" CARRELAGE ";8080;"STAT VENA ARGENTO";"MC";"SA";8080;" 90 € ";" 90 € ";"MARCA CORONA";"SCULTOREA";1,28;"m²";"poli"
"INT";100;"G";4;" CARRELAGE ";8080;"FOAM GREY";"MC";"SA";8080;" 90 € ";" 90 € ";"MARCA CORONA";"SCULTOREA";1,28;"m²";"poli"
"INT";100;"G";5;" CARRELAGE ";8080;"RIVER GREY";"MC";"SA";8080;" 90 € ";" 90 € ";"MARCA CORONA";"SCULTOREA";1,28;"m²";"poli"
"INT";100;"G";6;" CARRELAGE ";8080;"DARK DIAMOND";"MC";"SA";8080;" 90 € ";" 90 € ";"MARCA CORONA";"SCULTOREA";1,28;"m²";"poli"
"INT";100;"G";1;" CARRELAGE ";60120;"CAL  ORA FINO";"MC";"SA";60120;" 90 € ";" 90 € ";"MARCA CORONA";"SCULTOREA";1,44;"m²";"poli"
"INT";100;"G";2;" CARRELAGE ";60120;"CAL VENA ANTICA";"MC";"SA";60120;" 90 € ";" 90 € ";"MARCA CORONA";"SCULTOREA";1,44;"m²";"poli"
"INT";100;"G";3;" CARRELAGE ";60120;"STAT VENA ARGENTO";"MC";"SA";60120;" 90 € ";" 90 € ";"MARCA CORONA";"SCULTOREA";1,44;"m²";"poli"
"INT";100;"G";4;" CARRELAGE ";60120;"FOAM GREY";"MC";"SA";60120;" 90 € ";" 90 € ";"MARCA CORONA";"SCULTOREA";1,44;"m²";"poli"
"INT";100;"G";5;" CARRELAGE ";60120;"RIVER GREY";"MC";"SA";60120;" 90 € ";" 90 € ";"MARCA CORONA";"SCULTOREA";1,44;"m²";"poli"
"INT";100;"G";6;" CARRELAGE ";60120;"DARK DIAMOND";"MC";"SA";60120;" 90 € ";" 90 € ";"MARCA CORONA";"SCULTOREA";1,44;"m²";"poli"
"INT";100;"G";1;" CARRELAGE ";120120;"CAL  ORA FINO";"MC";"SA";120120;" 95 € ";" 95 € ";"MARCA CORONA";"SCULTOREA";2,88;"m²";"poli"
"INT";100;"G";2;" CARRELAGE ";120120;"CAL VENA ANTICA";"MC";"SA";120120;" 95 € ";" 95 € ";"MARCA CORONA";"SCULTOREA";2,88;"m²";"poli"
"INT";100;"G";3;" CARRELAGE ";120120;"STAT VENA ARGENTO";"MC";"SA";120120;" 95 € ";" 95 € ";"MARCA CORONA";"SCULTOREA";2,88;"m²";"poli"
"INT";100;"G";4;" CARRELAGE ";120120;"FOAM GREY";"MC";"SA";120120;" 95 € ";" 95 € ";"MARCA CORONA";"SCULTOREA";2,88;"m²";"poli"
"INT";100;"G";5;" CARRELAGE ";120120;"RIVER GREY";"MC";"SA";120120;" 95 € ";" 95 € ";"MARCA CORONA";"SCULTOREA";2,88;"m²";"poli"
"INT";100;"G";6;" CARRELAGE ";120120;"DARK DIAMOND";"MC";"SA";120120;" 95 € ";" 95 € ";"MARCA CORONA";"SCULTOREA";2,88;"m²";"poli"
"INT";100;"G";1;" CARRELAGE ";60120;"CAL  ORA FINO";"MC";"SA";60120;" 62 € ";" 62 € ";"MARCA CORONA";"SCULTOREA";1,44;"m²";"velvet"
"INT";100;"G";2;" CARRELAGE ";60120;"CAL VENA ANTICA";"MC";"SA";60120;" 62 € ";" 62 € ";"MARCA CORONA";"SCULTOREA";1,44;"m²";"velvet"
"INT";100;"G";3;" CARRELAGE ";60120;"STAT VENA ARGENTO";"MC";"SA";60120;" 62 € ";" 62 € ";"MARCA CORONA";"SCULTOREA";1,44;"m²";"velvet"
"INT";100;"G";4;" CARRELAGE ";60120;"FOAM GREY";"MC";"SA";60120;" 62 € ";" 62 € ";"MARCA CORONA";"SCULTOREA";1,44;"m²";"velvet"
"INT";100;"G";5;" CARRELAGE ";60120;"RIVER GREY";"MC";"SA";60120;" 62 € ";" 62 € ";"MARCA CORONA";"SCULTOREA";1,44;"m²";"velvet"
"INT";100;"G";6;" CARRELAGE ";60120;"DARK DIAMOND";"MC";"SA";60120;" 62 € ";" 62 € ";"MARCA CORONA";"SCULTOREA";1,44;"m²";"velvet"
"INT";100;"G";7;" DECOR ";60120;"DROP VELVET";"MC";"SA";60120;" 71 € ";" 71 € ";"MARCA CORONA";"SCULTOREA";1,44;"m²";0
"INT";100;"G";8;" DECOR ";60120;"BLEND VELVET";"MC";"SA";60120;" 71 € ";" 71 € ";"MARCA CORONA";"SCULTOREA";1,44;"m²";0
"INT";100;"G";1;" CARRELAGE ";120120;"CAL  ORA FINO";"MC";"SA";120120;" 72 € ";" 72 € ";"MARCA CORONA";"SCULTOREA";2,88;"m²";"velvet"
"INT";100;"G";2;" CARRELAGE ";120120;"CAL VENA ANTICA";"MC";"SA";120120;" 72 € ";" 72 € ";"MARCA CORONA";"SCULTOREA";2,88;"m²";"velvet"
"INT";100;"G";3;" CARRELAGE ";120120;"STAT VENA ARGENTO";"MC";"SA";120120;" 72 € ";" 72 € ";"MARCA CORONA";"SCULTOREA";2,88;"m²";"velvet"
"INT";100;"G";4;" CARRELAGE ";120120;"FOAM GREY";"MC";"SA";120120;" 72 € ";" 72 € ";"MARCA CORONA";"SCULTOREA";2,88;"m²";"velvet"
"INT";100;"G";5;" CARRELAGE ";120120;"RIVER GREY";"MC";"SA";120120;" 72 € ";" 72 € ";"MARCA CORONA";"SCULTOREA";2,88;"m²";"velvet"
"INT";100;"G";6;" CARRELAGE ";120120;"DARK DIAMOND";"MC";"SA";120120;" 72 € ";" 72 € ";"MARCA CORONA";"SCULTOREA";2,88;"m²";"velvet"
"INT";100;"G";1;" CARRELAGE ";60120;"CAL  ORA FINO";"MC";"SA";60120;" 60 € ";" 60 € ";"MARCA CORONA";"SCULTOREA";1,44;"m²";0
"INT";100;"G";2;" CARRELAGE ";60120;"CAL VENA ANTICA";"MC";"SA";60120;" 60 € ";" 60 € ";"MARCA CORONA";"SCULTOREA";1,44;"m²";0
"INT";100;"G";3;" CARRELAGE ";60120;"STAT VENA ARGENTO";"MC";"SA";60120;" 60 € ";" 60 € ";"MARCA CORONA";"SCULTOREA";1,44;"m²";0
"INT";100;"G";4;" CARRELAGE ";60120;"FOAM GREY";"MC";"SA";60120;" 60 € ";" 60 € ";"MARCA CORONA";"SCULTOREA";1,44;"m²";0
"INT";100;"G";5;" CARRELAGE ";60120;"RIVER GREY";"MC";"SA";60120;" 60 € ";" 60 € ";"MARCA CORONA";"SCULTOREA";1,44;"m²";0
"INT";100;"G";6;" CARRELAGE ";60120;"DARK DIAMOND";"MC";"SA";60120;" 60 € ";" 60 € ";"MARCA CORONA";"SCULTOREA";1,44;"m²";0
"INT";100;"G";1;" PLINTHE ";760;"CAL  ORA FINO";"MC";"SA";760;" 26 € ";" 26 € ";"MARCA CORONA";"SCULTOREA";7,2;"ml";0
"INT";100;"G";2;" PLINTHE ";760;"CAL VENA ANTICA";"MC";"SA";760;" 26 € ";" 26 € ";"MARCA CORONA";"SCULTOREA";7,2;"ml";0
"INT";100;"G";3;" PLINTHE ";760;"STAT VENA ARGENTO";"MC";"SA";760;" 26 € ";" 26 € ";"MARCA CORONA";"SCULTOREA";7,2;"ml";0
"INT";100;"G";4;" PLINTHE ";760;"FOAM GREY";"MC";"SA";760;" 26 € ";" 26 € ";"MARCA CORONA";"SCULTOREA";7,2;"ml";0
"INT";100;"G";5;" PLINTHE ";760;"RIVER GREY";"MC";"SA";760;" 26 € ";" 26 € ";"MARCA CORONA";"SCULTOREA";7,2;"ml";0
"INT";100;"G";6;" PLINTHE ";760;"DARK DIAMOND";"MC";"SA";760;" 26 € ";" 26 € ";"MARCA CORONA";"SCULTOREA";7,2;"ml";0
"INT";100;"G";1;" PLINTHE ";760;"CAL  ORA FINO";"MC";"SA";760;" 37 € ";" 37 € ";"MARCA CORONA";"SCULTOREA";7,2;"ml";"poli"
"INT";100;"G";2;" PLINTHE ";760;"CAL VENA ANTICA";"MC";"SA";760;" 37 € ";" 37 € ";"MARCA CORONA";"SCULTOREA";7,2;"ml";"poli"
"INT";100;"G";3;" PLINTHE ";760;"STAT VENA ARGENTO";"MC";"SA";760;" 37 € ";" 37 € ";"MARCA CORONA";"SCULTOREA";7,2;"ml";"poli"
"INT";100;"G";4;" PLINTHE ";760;"FOAM GREY";"MC";"SA";760;" 37 € ";" 37 € ";"MARCA CORONA";"SCULTOREA";7,2;"ml";"poli"
"INT";100;"G";5;" PLINTHE ";760;"RIVER GREY";"MC";"SA";760;" 37 € ";" 37 € ";"MARCA CORONA";"SCULTOREA";7,2;"ml";"poli"
"INT";100;"G";6;" PLINTHE ";760;"DARK DIAMOND";"MC";"SA";760;" 37 € ";" 37 € ";"MARCA CORONA";"SCULTOREA";7,2;"ml";"poli"
"INT";100;"G";1;" MOSAIQ ";3030;"CAL  ORA FINO";"MC";"SA";3030;" 16 € ";" 16 € ";"MARCA CORONA";"SCULTOREA";5;"pce";0
"INT";100;"G";2;" MOSAIQ ";3030;"CAL VENA ANTICA";"MC";"SA";3030;" 16 € ";" 16 € ";"MARCA CORONA";"SCULTOREA";5;"pce";0
"INT";100;"G";3;" MOSAIQ ";3030;"STAT VENA ARGENTO";"MC";"SA";3030;" 16 € ";" 16 € ";"MARCA CORONA";"SCULTOREA";5;"pce";0
"INT";100;"G";4;" MOSAIQ ";3030;"FOAM GREY";"MC";"SA";3030;" 16 € ";" 16 € ";"MARCA CORONA";"SCULTOREA";5;"pce";0
"INT";100;"G";5;" MOSAIQ ";3030;"RIVER GREY";"MC";"SA";3030;" 16 € ";" 16 € ";"MARCA CORONA";"SCULTOREA";5;"pce";0
"INT";100;"G";6;" MOSAIQ ";3030;"DARK DIAMOND";"MC";"SA";3030;" 16 € ";" 16 € ";"MARCA CORONA";"SCULTOREA";5;"pce";0
"INT";100;"I";1;" CARRELAGE ";3060;"ARGENTO";"MC";"VA";3060;" 48 € ";" 48 € ";"MARCA CORONA";"VULCANICA";1,26;"m²";0
"INT";100;"I";1;" CARRELAGE ";6060;"ARGENTO";"MC";"VA";6060;" 54 € ";" 54 € ";"MARCA CORONA";"VULCANICA";1,08;"m²";0
"INT";100;"I";1;" CARRELAGE ";60120;"ARGENTO";"MC";"VA";60120;" 65 € ";" 65 € ";"MARCA CORONA";"VULCANICA";1,44;"m²";0
"INT";100;"I";1;" CARRELAGE ";120120;"ARGENTO";"MC";"VA";120120;" 76 € ";" 76 € ";"MARCA CORONA";"VULCANICA";2,88;"m²";0
"INT";100;"I";1;" PLINTHE ";760;"ARGENTO";"MC";"VA";760;" 25 € ";" 25 € ";"MARCA CORONA";"VULCANICA";7,2;"ml";0
"INT";100;"I";1;" MOSAIQ ";3030;"ARGENTO";"MC";"VA";3030;" 16 € ";" 16 € ";"MARCA CORONA";"VULCANICA";5;"pce";0
"INT";100;"I";2;" CARRELAGE ";3060;"GRAFITE";"MC";"VA";3060;" 48 € ";" 48 € ";"MARCA CORONA";"VULCANICA";1,26;"m²";0
"INT";100;"I";2;" CARRELAGE ";6060;"GRAFITE";"MC";"VA";6060;" 54 € ";" 54 € ";"MARCA CORONA";"VULCANICA";1,08;"m²";0
"INT";100;"I";2;" CARRELAGE ";60120;"GRAFITE";"MC";"VA";60120;" 65 € ";" 65 € ";"MARCA CORONA";"VULCANICA";1,44;"m²";0
"INT";100;"I";2;" CARRELAGE ";120120;"GRAFITE";"MC";"VA";120120;" 76 € ";" 76 € ";"MARCA CORONA";"VULCANICA";2,88;"m²";0
"INT";100;"I";2;" PLINTHE ";760;"GRAFITE";"MC";"VA";760;" 25 € ";" 25 € ";"MARCA CORONA";"VULCANICA";7,2;"ml";0
"INT";100;"I";2;" MOSAIQ ";3030;"GRAFITE";"MC";"VA";3030;" 16 € ";" 16 € ";"MARCA CORONA";"VULCANICA";5;"pce";0
"INT";100;"I";3;" CARRELAGE ";3060;"PLATINO";"MC";"VA";3060;" 48 € ";" 48 € ";"MARCA CORONA";"VULCANICA";1,26;"m²";0
"INT";100;"I";3;" CARRELAGE ";6060;"PLATINO";"MC";"VA";6060;" 54 € ";" 54 € ";"MARCA CORONA";"VULCANICA";1,08;"m²";0
"INT";100;"I";3;" CARRELAGE ";60120;"PLATINO";"MC";"VA";60120;" 65 € ";" 65 € ";"MARCA CORONA";"VULCANICA";1,44;"m²";0
"INT";100;"I";3;" CARRELAGE ";120120;"PLATINO";"MC";"VA";120120;" 76 € ";" 76 € ";"MARCA CORONA";"VULCANICA";2,88;"m²";0
"INT";100;"I";3;" PLINTHE ";760;"PLATINO";"MC";"VA";760;" 25 € ";" 25 € ";"MARCA CORONA";"VULCANICA";7,2;"ml";0
"INT";100;"I";3;" MOSAIQ ";3030;"PLATINO";"MC";"VA";3030;" 16 € ";" 16 € ";"MARCA CORONA";"VULCANICA";5;"pce";0
"INT";100;"I";4;" CARRELAGE ";3060;"AZUL";"MC";"VA";3060;" 48 € ";" 48 € ";"MARCA CORONA";"VULCANICA";1,26;"m²";0
"INT";100;"I";4;" CARRELAGE ";6060;"AZUL";"MC";"VA";6060;" 54 € ";" 54 € ";"MARCA CORONA";"VULCANICA";1,08;"m²";0
"INT";100;"I";4;" CARRELAGE ";60120;"AZUL";"MC";"VA";60120;" 65 € ";" 65 € ";"MARCA CORONA";"VULCANICA";1,44;"m²";0
"INT";100;"I";4;" CARRELAGE ";120120;"AZUL";"MC";"VA";120120;" 76 € ";" 76 € ";"MARCA CORONA";"VULCANICA";2,88;"m²";0
